Number;SoluteName;Formula;Charge;GasPhaseAcidity_B2PLYP//DLPNO-CCSD(T) [kcal/mol];pka_water;pka_DMSO;pka_Acetonitrile;pka_MeOH;Gsolv_Neutral_Water_exp [kcal/mol];Gsolv_Neutral_DMSO_TZVPD-Fine [kcal/mol];Gsolv_Neutral_Acetonitrile_TZVPD-Fine [kcal/mol];Gsolv_Neutral_MeOH_TZVPD-Fine [kcal/mol];GSolv_Ion_Water [kcal/mol];GSolv_Ion_DMSO [kcal/mol];GSolv_Ion_Acetonitrile [kcal/mol];GSolv_Ion_MeOH [kcal/mol]
i052;dimethylether;H7C2O1;1;182.5376197;-2.5;;;;-1.8;-1.8478627;-2.33972295;-2.45887166;-76.87114818;;;
i053;diethylether;H11C4O1;1;190.3524339;-2.4;;0.2;;-1.8;-2.39711965;-3.15029953;-3.74984536;-69.19278325;;-74.09076417;
i054;acetone;H7C3O1;1;186.5365564;-2.9;;-0.1;;-3.9;-4.26495006;-4.80965662;-4.62902247;-74.42641433;;-79.1566509;
i056;acetophenone;H9C8O1;1;197.8859581;-4.3;;-0.1;;-4.6;-7.42765163;-7.83075528;-7.58515654;-61.8667227;;-70.8283479;
i058;formicacid;H1C1O2;-1;339.1262151;3.8;;;;-7;-9.43137606;-7.31555813;-7.7026462;-79.9211423;;;
i059;aceticacid;H3C2O2;-1;342.5812865;4.8;12.3;22.3;9.7;-6.7;-8.98606708;-7.21086356;-7.62530617;-81.71172086;-73.76409165;-58.34395974;-75.95101212
i060;propanoicacid;H5C3O2;-1;340.5974232;4.9;;;9.7;-6.5;-9.08477937;-7.39966356;-7.84094837;-79.39140829;;;-74.18279103
i061;hexanoicacid;H11C6O2;-1;339.4052382;4.9;;;;-6.2;-10.06871398;-8.76187752;-9.25587445;-77.89922325;;;
i062;acrylicacid;H3C3O2;-1;338.0212025;4.3;;;9.3;-6.6;-9.36692732;-7.40366792;-7.84227758;-77.7338833;;;-72.15369669
i063;pyruvicacid;H3C3O3;-1;326.8626603;2.5;;;;-9.4;-8.84163739;-7.22983194;-6.94712911;-71.8314282;;;
i064;benzoicacid;H5C7O2;-1;333.6219799;4.2;11;20.7;9.4;-7.9;-12.18910484;-10.15963354;-10.61534939;-74.77110994;-69.78166347;-54.51661163;-70.39109656
i065;methanol;H3C1O1;-1;378.8049409;15.5;29;;;-5.1;-5.46820168;-4.31629925;-5.1812112;-101.7353019;-83.68285024;;
i066;ethanol;H5C2O1;-1;373.9971218;15.9;29.8;;;-5;-5.74751928;-4.72937946;-5.71418833;-96.28168565;-78.06275446;;
i067;1-propanol;H7C3O1;-1;373.0133783;16.1;;;;-4.8;-5.84490738;-4.99304943;-5.89115261;-94.82504359;;;
i068;isopropanol;H7C3O1;-1;371.6825083;17.1;30.3;;;-4.8;-5.82999913;-5.01461031;-6.20791921;-92.12968075;-75.1483744;;
i069;2-butanol;H9C4O1;-1;369.398617;17.6;;;;-4.7;-5.88304635;-5.25213648;-6.27119855;-89.06354308;;;
i070;t-butanol;H9C4O1;-1;370.3182129;19.2;32.2;;;-4.5;-5.79396595;-5.24162179;-6.33740138;-87.59995037;-71.15550941;;
i071;allylalcohol;H5C3O1;-1;369.9163798;15.5;;;;-5.1;-6.59631425;-5.47961949;-6.15882837;-92.84674076;;;
i072;benzylalcohol;H7C7O1;-1;364.1928418;15.4;;;;-6.6;-9.50042075;-8.3506657;-8.95264956;-88.75965211;;;
i073;2-methoxyethanol;H7C3O2;-1;370.0936102;14.8;;;;-6.8;-6.16382676;-5.70517188;-6.29150996;-95.67911613;;;
i074;phenol;H5C6O1;-1;343.40016;10;18;27;14.4;-6.6;-10.94053889;-9.16940585;-9.38890653;-75.33523164;-68.75982782;-54.70825922;-72.12036968
i075;2-methylphenol;H7C7O1;-1;342.641301;10.3;;;;-5.9;-10.70797974;-9.16577228;-9.3659152;-73.46702477;;;
i076;3-methylphenol;H7C7O1;-1;343.419332;10.1;;;;-5.5;-11.09053278;-9.50973469;-9.72916867;-74.11795434;;;
i077;4-methylphenol;H7C7O1;-1;345.0432653;10.3;;;;-6.1;-11.04118711;-9.45986075;-9.71283489;-76.06898903;;;
i078;1,2-ethanediol;H5C2O2;-1;371.0583303;15.4;;;;-9.3;-10.02576345;-7.98978003;-9.30363907;-98.3251406;;;
i079;2-methoxyphenol;H7C7O2;-1;343.7290179;;;;14.5;;-8.94472686;-8.59124427;-8.02536473;;;;-70.94923647
i080;3-hydroxyphenol;H5C6O2;-1;340.8537489;9.3;;;;-11.4;-17.62608313;-13.94060736;-14.55343648;-78.54396553;;;
i081;4-hydroxyphenol;H5C6O2;-1;344.8940528;9.9;;;;-11.9;-17.2586056;-13.6800719;-14.35879818;-82.26557366;;;
i082;methylhydroperoxide;H3C1O2;-1;369.2113083;11.5;;;;-5.3;-7.28026331;-5.71772536;-5.93647223;-97.79964069;;;
i083;ethylhydroperoxide;H5C2O2;-1;368.4139803;11.8;;;;-5.3;-7.41162617;-5.97196073;-6.21989081;-96.5929648;;;
i084;acetaldehyde;H3C2O1;-1;362.1900103;16.5;;;;-3.5;-3.88977277;-4.24079789;-3.8868326;-82.15587848;;;
i085;acetone;H5C3O1;-1;365.390116;19;26.5;;;-3.9;-4.28110281;-4.82600728;-4.6361771;-82.34475203;-72.49215855;;
i086;3-pentanone;H9C5O1;-1;362.9384202;19.9;27.1;;;-3.3;-4.37578466;-5.165234;-5.13702262;-78.06501275;-69.31644896;;
i088;water;H3O1;1;157.6494763;-1.7;;;;-6.3;-7.21688539;-4.92812021;-6.4021885;-107.3508858;;;
i089;water;H1O1;-1;394.7576272;15.7;31.2;;;-6.3;-7.21688547;-4.92812025;-6.40218859;-118.6150896;-98.38233604;;
i090;hydrogenperoxide;H1O2;-1;374.1690024;11.7;;;;-8.6;-11.24514905;-7.88664709;-8.65806442;-105.7844362;;;
i091;hydroperoxylradical;O2;-1;362.0766762;4.7;;;;-7;-9.53084907;-6.86665803;-7.40102967;-101.6435599;;;
i093;4-methoxyaniline;H10C7N1O1;1;208.3283617;5.3;;;6.9;-7.6;-10.06024921;-9.60652105;-9.45822193;-67.52345039;;;-71.56486087
i094;4-nitroaniline;H7C6N2O2;1;191.8915308;1;;;1.6;-9.9;-17.88202912;-14.93684416;-14.8217239;-80.39296202;;;-86.13338162
i095;morpholine;H10C4N1O1;1;214.4557221;8.4;;16.6;;-7.2;-5.66100418;-6.11091575;-7.92690276;-65.22601771;;-75.32577474;
i098;acetamide;H6C2N1O1;1;196.0990903;-0.6;;;;-9.7;-10.28419247;-8.76416345;-10.14161324;-73.80221402;;;
i099;benzamide;H8C7N1O1;1;203.008155;-1.4;;3.8;;-10.9;-13.71522751;-11.77538757;-12.58543258;-67.00155504;;-74.97230537;
i100;2-nitrophenol;H4C6N1O3;-1;332.2473559;7.2;;;;-4.5;-8.71639084;-8.45411826;-7.78318458;-65.90300744;;;
i101;3-nitrophenol;H4C6N1O3;-1;328.8037556;8.4;;23.9;12.3;-9.6;-15.7668185;-13.3688543;-13.32260911;-65.92201572;;-48.54123101;-64.32310276
i102;4-nitrophenol;H4C6N1O3;-1;322.1083204;7.1;10.8;20.7;11.3;-10.6;-16.69375942;-14.20275661;-14.17707892;-62.00042126;-63.04555718;-47.04607526;-59.84663026
i103;nitromethane;H2C1N1O2;-1;354.3221811;10.2;17.2;;;-4;-5.94794001;-6.00354468;-5.08303886;-83.38435409;-75.78084423;;
i104;4-nitroaniline;H5C6N2O2;-1;338.5104108;18.2;20.9;;;-9.9;-17.81643338;-14.91872198;-14.7781667;-62.5566411;-66.78894381;;
i105;acetamide;H4C2N1O1;-1;358.5593172;15.1;25.5;;;-9.7;-10.28419248;-8.76416345;-10.14161323;-86.63547531;-73.02894226;;
i106;dimethylsulfide;H7C2S1;1;191.0699573;-7;;;;-1.5;-3.34197468;-3.86249388;-3.31313095;-61.89859287;;;
i107;methanethiol;H3C1S1;-1;352.4963341;10.3;;;;-1.2;-3.18133438;-3.47046488;-2.90552142;-78.62205781;;;
i108;ethanethiol;H5C2S1;-1;349.7739958;10.6;;;;-1.3;-3.38360973;-3.83030207;-3.27877307;-75.59037172;;;
i109;1-propanethiol;H7C3S1;-1;349.2277192;10.7;;;;-1.1;-3.49586528;-4.05975802;-3.56055237;-74.70764579;;;
i110;thiophenol;H5C6S1;-1;333.6639628;6.6;10.3;;;-2.6;-7.09029965;-7.08422018;-6.54297359;-66.23831005;-65.67998619;;
i111;hydrogensulfide;H1S1;-1;347.1105564;7;;;;-0.7;-3.10684649;-3.08774191;-2.54389419;-77.23910651;;;
i112;dimethylsulfoxide;H7C2O1S1;1;205.7465704;-1.5;;5.8;;-9.8;-7.38304324;-8.08786793;-8.51243135;-63.0266903;;-71.27535596;
i113;dimethylsulfoxide;H5C2O1S1;-1;370.4632397;33;35;;;-9.8;-7.38304324;-8.08786793;-8.51243135;-74.21497603;-69.06903359;;
i114;hydrofluoricacid;F1;-1;374.8401205;;;;;;-8.25464992;-5.6752662;-6.35113306;;;;
i115;hydrochloricacid;CL1;-1;329.2536615;;;;;;-5.00027321;-3.36553226;-3.6441863;;;;
i116;hydrobromicacid;BR1;-1;319.3329574;;;;;;-4.23646622;-3.22013291;-3.17324072;;;;
i117;chloroform;C1CL3;-1;351.464517;24;;;;-1.1;-4.37945667;-4.49569552;-4.03128936;-58.79668883;;;
i118;trifluoroaceticacid;C2O2F3;-1;315.6078507;0.5;3.5;12.7;;-7.3;-10.23522198;-7.63995832;-8.31031775;-61.20560427;-60.04734774;-44.89874996;
i119;chloroaceticacid;H2C2O2CL1;-1;328.5842787;2.9;;17.6;7.9;-8.7;-11.98379494;-9.86710768;-9.85388547;-72.30724945;;-53.41631239;-66.63867072
i120;dichloroaceticacid;H1C2O2CL2;-1;320.6051778;1.4;6.4;14.5;6.3;-6.6;-13.12871829;-10.58820929;-10.74647403;-64.27488778;-63.98114188;-50.38824088;-61.7353469
i121;2,2,2-trifluoroethanol;H2C2O1F3;-1;355.1130173;12.4;23.5;;;-4.3;-7.56246561;-6.03641303;-6.24470201;-81.47330614;-69.58990123;;
i122;1,1,1,3,3,3-hexafluoropropan-2-ol;H1C3O1F6;-1;338.0021517;9.3;;;;-3.8;-8.46028991;-6.58074754;-6.86408351;-68.09236826;;;
i123;2-chlorophenol;H4C6O1CL1;-1;337.7016105;8.5;;;13;-4.5;-9.78523093;-7.93145273;-8.01543087;-69.5834214;;;-66.95863449
i124;4-chlorophenol;H4C6O1CL1;-1;336.4747387;9.4;;;;-6.2;-12.50805747;-10.51930092;-10.71534781;-68.82850601;;;
i125;3-chloroaniline;H7C6N1CL1;1;199.7134345;3.5;;;4.5;-5.8;-10.77340096;-9.47847891;-9.17323528;-71.88229048;;;-76.6200186
i126;4-chloroaniline;H7C6N1CL1;1;199.3129044;4;;;5;-5.9;-10.70600278;-9.5466475;-9.23024454;-73.06506695;;;-77.75980433
i130;1-methylpiperidine;H14C6N1;1;230.9103367;;;;9.9;;-3.38100307;-4.22090599;-5.83022098;;;;-49.44836334
i132;2,4-dimethylpyridine;H10C7N1;1;223.4931081;;;14.1;;;-6.01386298;-6.5638935;-7.57392983;;;-63.33013442;
i133;2,6-dimethylpyridine;H10C7N1;1;223.0932778;;;;6.9;;-5.6100424;-6.09611441;-7.25919637;;;;-54.60091912
