Number;IUPAC-Name;Charge;Molecular Formula;Isomeric SMILES;Water;DMSO;Acetonitrile;Methanol;dG_gas;Water_neutral;DMSO_neutral;Acetonitrile_neutral;Methanol_neutral;Water_neutral_ref;Water_pka;DMSO_pka;Acetonitrile_pka;Methanol_pka;Water_pka_ref;DMSO_pka_ref;Acetonitrile_pka_ref;Methanol_pka_ref;;;;;
127;benzoic acid;1;H7C7O2;C1=CC=C(C=C1)C(=O)O;;;-68.5;;187.0;;-12.2;-10.1;-10.6;;;;0;;;;3;;;;;;
128;phenylmethanamine;1;H10C7N1;C1=CC=C(C=C1)CN;;;-62.2;;213.4;;-7.1;-7.3;-8.5;;;;16.8;;;;9?11;;;;;;
129;2-methyl-N-(2-methylpropyl)propan-1-amine;1;H20C8N1;CC(C)CNCC(C)C;;;;;;;-3.7;-4.8;-6.4;;;;17.9;;;;2;;;;;;
130;N-butylbutan-1-amine;1;H20C8N1;CCCCNCCCC;;;-51.6;;223.6;;-3.9;-5.0;-6.6;;;;18.3;;;;2;;;;;;
131;ethanamine;1;H8C2N1;CCN;;;-63.2;-70.6;210.7;;-3.2;-3.5;-5.2;;;;18.4;11;;;2;34;;;;;
132;sulfane;1;H3S1;S;;;-87.9;;161.1;;-3.1;-3.1;-2.5;;;;0.5;;;;3;;;;;;
133;2-methylpropan-1-amine;1;H12C4N1;CC(C)CN;;;-60.3;;213.6;;-3.7;-4.2;-5.8;;;;17.9;;;;2;;;;;;
134;anisole;1;H9C7O1;COC1=CC=CC=C1;;;-69.5;;181.4;;-5.8;-6.2;-5.8;;;;-0.5;;;;3;;;;;;
135;butan-1-ol;1;H11C4O1;CCCCO;;;-72.8;;181.0;;-6.3;-5.5;-6.5;;;;2.2;;;;6;;;;;;
136;butan-1-amine;1;H12C4N1;CCCCN;;;-61.7;-69.8;212.8;;-3.7;-4.1;-5.7;;;;18.3;11.5;;;2;34;;;;;
137;phenol;1;H7C6O1;C1=CC=C(C=C1)O;;;-83.6;;171.5;;-11.0;-9.2;-9.4;;;;0.4;;;;3;;;;;;
138;2-methylpropan-2-ol;1;H11C4O1;CC(C)(C)O;;;-68.0;;187.2;;-5.8;-5.3;-6.4;;;;3.4;;;;6;;;;;;
139;oxolane;1;H9C4O1;C1CCOC1;;;-60.9;;189.9;;-3.3;-4.0;-4.6;;;;1.1;;;;3;;;;;;
140;ethanethioamide;1;H6C2N1S1;CC(=S)N;;;-60.1;;202.4;;-13.1;-10.8;-10.5;;;;4.7;;;26;;;;;;;
141;N,N-dibutylbutan-1-amine;1;H28C12N1;CCCCN(CCCC)CCCC;;;;;;;-3.6;-5.3;-7.1;;;;18.1;;;;2;;;;;;
142;2H-triazole;-1;H2C2N3;C1=NNN=C1;;-63.2;;;339.8;;-10.6;-8.0;-9.0;;;13.9;;;;26;;;;;;;
143;1H-1,2,4-triazole;-1;H2C2N3;C1=NC=NN1;;-59.4;;;332.0;;-15.8;-13.8;-15.8;;;14.8;;;;26;;;;;;;
144;2,4,6-trimethylbenzoic acid;-1;H11C10O2;CC1=CC(=C(C(=C1)C)C(=O)O)C;;;-69.8;;331.8;;-12.9;-11.5;-11.9;;;;20.6;;;;8;;;;;;
145;2,4-dinitrophenol;-1;H3C6N2O5;C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O;;-51.5;-58.7;-54.2;315.2;;-12.5;-11.7;-10.7;;;5.8;16.8;7.8;;14,26;2;34,37,38;;;;;
146;2-chlorobenzoic acid;-1;H4C7O2CL1;C1=CC=C(C(=C1)C(=O)O)Cl;;-62.7;-70.3;-68.8;329.8;;-13.9;-11.8;-12.1;;;9.3;19;8.8;;14;8;34;;;;;
147;2-fluorobenzoic acid;-1;H4C7O2F1;C1=CC=C(C(=C1)C(=O)O)F;;;;-70.2;331.9;;-12.6;-10.5;-10.8;;;;;8.4;;;;34;;;;;
148;2-fluorophenol;-1;H4C6O1F1;C1=CC=C(C(=C1)O)F;;;;-69.7;340.4;;-9.6;-7.9;-8.0;;;;;12.9;;;;34;;;;;
149;2-hydroxybenzoic acid;-1;H5C7O3;C1=CC=C(C(=C1)C(=O)O)O;;;-62.3;-58.8;318.1;;-14.7;-12.2;-12.6;;;;16.7;8;;;12;39;;;;;
